customer_id,first_name,last_name,gender,customer_age,marital_status,education_level,employment_status,annual_income,credit_score,email,city,state,join_date
38,Candace,Mitchell,Other,48,MARRIED,High School,Unemployed,66497.0,376,bateslee@example.net,Port Eric,Rhode Island,1991-08-06
39,Michael,Adkins,FEMALE,29,Married,grad,employed,82244.0,626,Mindy,EAST LUISLAND,Arkansas,29-12-2015
40,Cory,Silva,F,73,Single,Doctorate,jobless,27909.0,497,fwyatt@example.com,Port Jermaine,California,08-03-1984
41,William,Henry,Other,60,Single,Post Graduate,Retired,83117.0,545,qgates@example.com,CRUZCHESTER,Alabama,04-10-1974
42,Ashley,Lozano,Unknown,21,,Doctorate,jobless,70499.0,735,anthonydennis@example.com,LAKE CAITLYN,South Carolina,2021/10/18
43,Amanda,Thomas,F,20,,PhD,employed,29481.0,815,smalljames@example.org, West Ronnieland ,Wisconsin,20-09-1983
44,Colleen,Steele,Male,46,D,PhD,,147948.0,783,debbie34@example.net,West Jessica,South Dakota,1970-11-14
45,Hannah,Ortiz,F,41,single,Post Graduate,Unemployed,198717.0,338,howardnicole@example.net,SMITHHAVEN,Hawaii,2009-06-01
46,Sean,Black,Unknown,32,MARRIED,Doctorate,Self-employed,98082.0,997,erincochran@example.org,LISACHESTER,Wyoming,02-05-2010
47,Derrick,Hull,FEMALE,38,Married,Doctorate,Self-employed,143726.0,708,stevensaaron@example.net,Zimmermanview,Virginia,03-08-2010
48,Jessica,Walls,FEMALE,63,,Graduate,employed,92906.0,379,amandalynch@example.net,Lake Charles,North Carolina,2024-07-23
49,Bryan,Sandoval,Male,46,single,High School,jobless,123101.0,657,rossdavis@example.org,SOUTH LEAHBOROUGH,Indiana,1972-03-20
50,Matthew,Simon,FEMALE,78,MARRIED,High School,Self-employed,191407.0,333,ohall@example.net,East Michaelmouth,Arizona,1988/09/02
51,Anthony,Ramirez,male,37,D,,Unemployed,58136.0,547,michaeljohnson@example.org,MATTHEWMOUTH,Massachusetts,25-07-2025
52,Monica,Heath,F,61,D,grad,Unemployed,112387.0,377,benjaminhodges@example.net,Pughtown,West Virginia,2013/11/24
53,Peter,Becker,Other,18,single,PG,self employed,80738.0,848,wbowen@example.org,Travisland,Oklahoma,1992-11-10
54,Austin,Charles,Unknown,29,Married,High School,,85475.0,566,tammy40@example.net,Brianstad,Nebraska,1974-05-06
55,Roberto,Garcia,M,59,,,Unemployed,167113.0,314,stevenssamuel@example.com,PORT COURTNEYLAND,Alaska,23-06-2013
56,Kevin,Hammond,male,54,MARRIED,high school,Self-employed,122439.0,679,marc31@example.net,Estradamouth,Indiana,2011/10/26
57,Robin,Kirk,Unknown,33,,Graduate,jobless,110042.0,836,carolyn33@example.com, NORTH KATHLEEN ,Alabama,1989-08-16
58,Michael,Thompson,M,42,,Doctorate,Employed,41115.0,797,kathysilva@example.org,Gonzalesshire,Wyoming,1972/04/03
59,Colleen,Hughes,FEMALE,74,Single,PG,,182222.0,340,gregorykerr@example.com,Williamsonton,California,1971-08-14
60,Tracy,Myers,Male,24,S,grad,Employed,69608.0,436,nwong@example.net, Perkinsshire ,Tennessee,2017-11-26
61,Kayla,Mata,,78,MARRIED,,Employed,36653.0,575,ytaylor@example.net,Porterchester,Illinois,2024-01-26
62,Matthew,Lang,,72,Divorced,Graduate,self employed,112069.0,825,campbellstephanie@example.org, NORTH NOAHMOUTH ,Kentucky,2014-09-08
63,Julia,Joseph,,66,Married,Graduate,Self-employed,39346.0,360,harperanna@example.com,North Benjaminshire,Pennsylvania,1982/09/04
64,Hannah,Floyd,Male,48,single,Doctorate,self employed,146912.0,367,umartinez@example.com,East Michaelland,Kentucky,2014/02/23
65,Ernest,Bailey,male,18,MARRIED,Doctorate,Employed,166236.0,634,moorekaren@example.net,NEW ANDREWFORT,South Dakota,28-08-2002
66,Christy,Hammond,male,47,,Post Graduate,,82131.0,510,eellison@example.com,West Elizabeth,Hawaii,2007-01-27
67,Maria,Contreras,Male,20,Married,High School,Employed,187295.0,561,gina07@example.org,NORTH JONATHAN,Idaho,19-12-1976
68,Pamela,Wilkinson,,41,,High School,Unemployed,177164.0,452,marc56@example.org,Michelleland,West Virginia,30-04-1971
69,Lisa,Garza,Unknown,18,Single,Post Graduate,employed,135477.0,543,Glenn,GARCIABURGH,Illinois,1980-04-15
70,Natasha,Smith,Other,69,S,Post Graduate,Retired,43299.0,475,carla39@example.net,Port Tinastad,Wyoming,1987-02-28
71,Jeffrey,Colon,M,72,Single,grad,,86689.0,305,selena67@example.org,Lake Timothyview,Alabama,13-01-2024
72,Mary,Velez,,44,Married,high school,self employed,126231.0,702,wjones@example.org,Port Jackson,Hawaii,2002-02-22
73,Daniel,Booth,,48,S,Graduate,self employed,,824,ramostheresa@example.com,Griffinside,Wyoming,1973-07-11
74,Elizabeth,Cooper,Female,74,Single,Graduate,employed,45199.0,746,Kristine,Wilsonmouth,Idaho,2022/05/22
75,Willie,Cameron,Unknown,54,single,Doctorate,Self-employed,171855.0,703,qking@example.org,ZUNIGAVIEW,Florida,2013/03/18
76,Lauren,Davis,male,47,Married,High School,Employed,124115.0,335,james93@example.org,NEW MELANIE,Utah,1984/11/20
77,Adam,Jackson,male,70,Divorced,,self employed,139184.0,793,hillholly@example.org,NORTH MANUEL,Alabama,15-09-2009
78,Lindsay,Jones,M,44,,Post Graduate,Retired,22449.0,736,macosta@example.net,East Devonmouth,New Hampshire,2013-07-04
79,Lisa,Hernandez,Female,58,MARRIED,Graduate,employed,154853.0,612,jenniferrobertson@example.org, New Stephanie ,Hawaii,1982/04/21
80,Rose,James,Male,27,single,PG,Unemployed,86964.0,701,matthew78@example.net, South Michael ,Kansas,2011-12-20
81,Charles,Mccullough,Unknown,42,S,High School,Retired,25810.0,491,alindsey@example.com,Port Leahburgh,Wisconsin,1998/09/01
82,Christopher,Sims,Unknown,20,Married,grad,Retired,91113.0,358,cwilliams@example.net, VASQUEZBURGH ,Ohio,07-11-1987
83,Richard,Turner,M,57,D,PhD,Unemployed,48952.0,506,ahunter@example.org,Jillianfort,Pennsylvania,2000-02-22
84,David,Lynch,Unknown,49,MARRIED,grad,Employed,183221.0,510,jcharles@example.com, Dakotafort ,Hawaii,09-01-2013
85,Matthew,Thomas,Other,29,MARRIED,Doctorate,self employed,59164.0,435,john98@example.com,East Georgeside,Texas,08-02-2022
86,Heather,Fitzgerald,F,49,,Doctorate,employed,36947.0,500,ehill@example.net,NORTH SAMUELBERG,Wyoming,1994/11/12
87,Megan,Scott,,18,,PG,Unemployed,46130.0,813,timothythomas@example.net,Port Ryanhaven,Louisiana,1972/12/24
88,Alexa,Williams,M,72,Married,PG,Retired,124607.0,664,caroline87@example.com, South Mason ,Missouri,2018-03-11
89,Joshua,Sanchez,Other,72,S,High School,self employed,186526.0,817,Lindsey,New Stephanie,Maryland,1977-02-12
90,Jeffrey,Campbell,F,24,D,Doctorate,Retired,61984.0,320,lauraclark@example.net,LAKE WENDYMOUTH,South Carolina,1974-07-03
91,Jamie,Cain,F,64,single,Graduate,self employed,180634.0,684,hayesdonald@example.com, South Cassidybury ,Colorado,2017/05/10
92,Jennifer,Mcguire,Female,-5,single,,Self-employed,64561.0,822,bellis@example.org,SOUTH KEVINPORT,Maryland,2008-10-31
93,Shawn,Butler,Female,77,S,PhD,Self-employed,98551.0,495,marvin80@example.org,LINDSAYHAVEN,Tennessee,01-12-1997
94,Laura,Anderson,Female,67,D,grad,Retired,58939.0,510,bhendricks@example.net, Amandafort ,Maryland,1975/11/30
95,Alexandra,Smith,M,23,S,grad,Employed,191660.0,809,phyllis93@example.net,Samanthashire,Alaska,2025/06/08
96,Lisa,Tran,Male,57,Married,High School,Employed,159952.0,615,matthewjones@example.org,East Carlyville,Montana,06-10-2024
97,Jon,Brown,Female,57,Divorced,high school,Unemployed,149762.0,462,alexanderbrown@example.com, Stevenborough ,Georgia,1992-04-23
98,Xavier,Williamson,,61,Single,Graduate,self employed,119683.0,589,Nicole, New Bonnie ,Florida,2024-07-14
99,Kim,Todd,Female,57,Single,Graduate,Self-employed,51027.0,567,christophergoodman@example.com, NEW SUSANMOUTH ,Texas,2021/02/18
100,Jeffery,Lopez,Female,30,Married,Post Graduate,Employed,128374.0,552,paynetina@example.com,Crystalside,Connecticut,1987-07-18
101,Paul,Chan,male,66,MARRIED,PhD,Employed,176959.0,779,matthewcampbell@example.net,Rebeccachester,Missouri,01-12-1997
102,Michelle,Martin,M,37,Married,PhD,,42297.0,822,shawnfriedman@example.net,Johnsonfort,Washington,2005-11-14
103,Stephanie,Thompson,male,22,S,High School,Unemployed,148598.0,575,njones@example.org,Vincenthaven,South Dakota,2004-11-11
104,Heather,Shannon,M,47,Divorced,,,142377.0,618,turnerjames@example.net, West Nicolefort ,Kansas,2012-12-09
105,Lauren,Aguirre,,39,,Graduate,Employed,106030.0,614,williamjones@example.org,Wilsonmouth,Alaska,1971/06/07
106,Michael,Cook,Male,33,single,High School,Retired,73647.0,432,Eric, Jeffreymouth ,Virginia,1999-08-14
107,Zachary,Watts,M,68,Single,high school,Employed,60408.0,532,trevorlewis@example.net, Wardside ,Connecticut,1973-12-29
108,Crystal,Alexander,FEMALE,48,single,high school,employed,93333.0,480,christinatorres@example.net, Laraton ,New Hampshire,04-10-2001
109,Olivia,Barron,Other,31,MARRIED,Graduate,self employed,168106.0,743,Benjamin, New Vanessaborough ,Hawaii,1977-08-15
110,Robin,Grant,Other,67,single,high school,Employed,57688.0,511,millermatthew@example.com,Port Ryan,Louisiana,2020-09-20
111,Jeffrey,Smith,Other,38,MARRIED,grad,jobless,,731,zturner@example.org,COMBSHAVEN,Colorado,2013/11/10
112,Daniel,Hernandez,M,29,Married,PG,jobless,143262.0,982,alexander43@example.org,Port Antonioton,Georgia,1976/01/31
113,Joseph,Thomas,Female,35,single,Graduate,Employed,94089.0,359,estrickland@example.com, Ryanstad ,Rhode Island,1995-09-17
114,Brandon,Williams,F,67,,,Self-employed,143736.0,572,jenniferpitts@example.org,PORT KATHERINEMOUTH,Delaware,2022/08/12
115,Dustin,Palmer,Female,30,single,PG,Employed,49810.0,559,joshua90@example.net,JOSEPHFORT,Utah,2023-12-18
116,Lucas,Smith,Unknown,49,Divorced,high school,self employed,63642.0,430,madison22@example.com, Larryville ,Washington,1980/10/05
117,Jamie,Phillips,Male,37,,Graduate,Employed,191082.0,732,hoganlee@example.com,West Anthony,New Jersey,2008-03-16
118,Stephen,Watson,FEMALE,38,Divorced,grad,Retired,80568.0,824,Jesse, Port Eddie ,Kansas,2011-02-22
119,Allen,Gilbert,male,64,Single,grad,Self-employed,,538,tnolan@example.com, West Jerrystad ,Mississippi,27-09-1995
120,Amanda,Cervantes,FEMALE,57,MARRIED,Doctorate,self employed,,650,andrewwright@example.net,EAST ROBINBOROUGH,Texas,1997/05/17
121,Susan,Roberts,Male,59,Single,Graduate,Self-employed,73882.0,659,Emily, Lake Richard ,Virginia,1993-02-14
122,Austin,Carlson,F,75,Married,High School,jobless,165609.0,797,shellydouglas@example.net,Lindaview,Colorado,2023-08-20
123,Michael,Cannon,F,39,MARRIED,Doctorate,,33339.0,827,rhunter@example.org,SAMUELTON,Montana,2003/11/02
124,Caleb,Henderson,M,31,Single,High School,Self-employed,61844.0,707,mirandamichael@example.com,New Sarahberg,New York,2022/09/03
125,Kathryn,Smith,Unknown,34,single,Post Graduate,jobless,194297.0,821,Marissa,Weststad,Colorado,1997-08-04
126,Anthony,Travis,Female,76,,High School,Employed,98770.0,778,shawbrianna@example.org,South Stevenmouth,Wisconsin,2002-02-21
127,Cindy,Johnson,FEMALE,72,D,Doctorate,self employed,89943.0,501,taylorronald@example.org, Lake Stephanieton ,Virginia,23-05-1991
128,Christopher,Ortiz,,42,S,Post Graduate,employed,33352.0,738,smithian@example.org, LAKE JARED ,Iowa,1995-09-06
129,Scott,Townsend,Male,57,,high school,jobless,157093.0,450,samuelhale@example.net, NEW SIERRA ,Oklahoma,11-11-1992
130,Lori,Bradley,,84,Divorced,,Self-employed,-4480.0,370,jamesmays@example.net,Smithport,Rhode Island,1973/03/26
131,Travis,Graham,Female,32,S,Graduate,Unemployed,131835.0,672,christopher38@example.com,JUAREZMOUTH,Illinois,24-11-1992
132,Jeffrey,Sampson,F,21,Divorced,High School,jobless,174620.0,713,fhill@example.com,Cruzhaven,Louisiana,03-07-1992
133,Bradley,Johnson,FEMALE,36,Single,Doctorate,Retired,85854.0,507,michaelrodriguez@example.net,Deniseborough,Nebraska,14-02-1970
134,Brittany,Cross,,46,Single,,Unemployed,123708.0,312,thompsonjohn@example.org,Watsonhaven,Kentucky,27-12-2025
135,Robert,Miller,male,38,Married,Post Graduate,Retired,131231.0,386,jasonlarson@example.com,ANITASIDE,Kentucky,1996-03-16
136,Michael,Hardy,,50,Single,high school,Employed,170123.0,619,judithvelez@example.com,West Thomas,Illinois,2005/03/21
137,Lori,Hamilton,,73,S,Post Graduate,Unemployed,170207.0,574,lori31@example.com,Ramirezbury,Rhode Island,12-07-1979
138,Nicholas,Chambers,M,56,MARRIED,PhD,Employed,62647.0,360,jason05@example.com, Lake David ,North Dakota,2003-10-01
139,Brent,Romero,Other,23,Divorced,Graduate,Self-employed,167110.0,600,ikemp@example.net,Coopermouth,Kentucky,2002-08-08
140,Brian,Lynn,Female,60,,,employed,129736.0,904,montoyalisa@example.com,West Jasonton,Georgia,1976-10-11
141,Katherine,White,F,33,Divorced,high school,Employed,175654.0,617,brianwhite@example.net,North Jacob,South Dakota,1989/09/02
142,William,Morris,,53,Single,Doctorate,Unemployed,198003.0,732,charlesatkins@example.net,Adamsland,Oklahoma,2015/10/17
143,Jessica,Moran,M,26,S,Post Graduate,Retired,71263.0,566,robert92@example.org,SOUTH MARYPORT,Illinois,1983-03-13
144,George,Burch,,49,Married,high school,,181116.0,644,Chelsey, PORT ROBINFORT ,Idaho,1977-05-04
145,Mark,Mueller,FEMALE,20,Married,grad,,153328.0,596,thomasnguyen@example.net, PORT DIANATOWN ,Montana,1988/08/20
146,Kimberly,Gardner,Female,27,Divorced,Post Graduate,Unemployed,127535.0,406,smithmonica@example.com,Marshland,North Dakota,1978-12-26
147,Sarah,Baker,Male,76,single,High School,Self-employed,180002.0,687,wgarrison@example.net,South Steveport,Ohio,1972-12-08
148,Michael,Brown,Other,74,D,,jobless,114356.0,535,Steven,Marcuschester,Pennsylvania,1999-06-03
149,Kevin,King,Other,73,S,High School,Unemployed,98703.0,796,nicholaswagner@example.org,Riceton,New Jersey,11-04-1971
150,John,Erickson,FEMALE,65,Divorced,,Employed,154208.0,710,george82@example.net,Aliciachester,Virginia,2009/10/07
151,William,Campos,Other,77,Married,Doctorate,,33082.0,504,sharonsullivan@example.net,Port Jennifer,North Dakota,1978/04/11
152,Stephen,Pennington,Male,69,D,PG,Employed,91991.0,332,tara97@example.net, HERNANDEZSHIRE ,Nebraska,2013/11/16
153,Sara,Lewis,M,43,D,,Self-employed,37905.0,449,david76@example.net,South Jeanettefort,New Jersey,23-08-2007
154,Lisa,Castillo,Male,62,MARRIED,high school,Self-employed,152080.0,824,mleach@example.org,Smithstad,South Carolina,1993/03/03
155,Thomas,Ramirez,M,27,Divorced,Doctorate,Unemployed,-1848.0,601,ianwhite@example.org,Wyattville,Ohio,15-10-2007
156,William,Bean,,42,S,PG,Unemployed,69426.0,686,john66@example.com,East John,Virginia,1986-05-23
157,Brian,Forbes,FEMALE,60,S,high school,jobless,57955.0,377,torreschad@example.org,HEATHERMOUTH,Florida,2015-12-29
158,Adam,Randolph,male,78,Single,high school,jobless,177787.0,431,ygibson@example.net,Lisaside,Illinois,2012-07-13
159,Jesse,Salazar,FEMALE,23,Married,High School,Employed,161387.0,661,jack08@example.net,West Dale,Mississippi,2015/10/31
160,Michael,Johnson,,34,,grad,Employed,51405.0,378,daniel81@example.com,Summersfort,New Hampshire,2014-03-07
161,Jonathon,Wilson,male,73,single,Graduate,Employed,186581.0,398,wongroberta@example.net,PORT KATHERINE,Pennsylvania,2011/03/06
162,Heather,Davenport,Female,112,Divorced,Post Graduate,,144676.0,302,james79@example.org,NEW LESLIE,Ohio,1975/01/25
163,David,Jackson,F,75,Divorced,PG,,188220.0,545,Kevin,North Diane,Maryland,2025/05/07
164,John,Mullen,Female,59,,Post Graduate,jobless,101366.0,513,Sarah, Port Jeremiah ,California,2024-11-26
165,Allison,Sandoval,Female,27,Married,Post Graduate,Employed,87854.0,395,aaron13@example.com,Johntown,Montana,2001-09-01
166,Elijah,Howard,FEMALE,33,Divorced,high school,self employed,32792.0,450,lawrencemaria@example.net,East Conniebury,Wyoming,1977-06-29
167,Courtney,Delgado,male,59,MARRIED,grad,jobless,124762.0,347,stephenking@example.com,DONNAVIEW,Washington,2008-11-03
168,Kevin,Keith,F,60,S,,Employed,109345.0,452,burkekyle@example.com,Lake Daniel,Pennsylvania,1973/06/11
169,Dawn,Rice,Male,41,MARRIED,Post Graduate,Employed,60367.0,621,melanie06@example.net,Lake Andrea,Nevada,1996/06/02
170,Cheryl,Lewis,FEMALE,23,D,high school,jobless,77288.0,506,mccoymelissa@example.net,JONATHANFORT,Texas,2025/05/08
171,Dustin,Sanders,male,69,MARRIED,PG,self employed,184970.0,783,chris23@example.org,Port Amandastad,Washington,2002/04/02
172,Sherry,Stevens,Other,75,Married,Graduate,Retired,154427.0,361,dawnrice@example.com,CHARLESHAVEN,Mississippi,03-09-2007
173,Christopher,Stewart,FEMALE,19,Single,Post Graduate,jobless,143065.0,379,jamesmary@example.net,Pattonshire,Oregon,2017-08-02
174,Barbara,Owens,M,45,S,Post Graduate,employed,131651.0,749,padillajennifer@example.org,Markview,New Jersey,23-12-2000
175,James,Daniels,F,76,MARRIED,high school,self employed,40687.0,800,kimberly78@example.net,Leeburgh,North Dakota,2013-04-23
176,Jessica,Smith,Female,26,single,PG,,25446.0,459,maryacevedo@example.org,CAROLBURY,Utah,1994/09/06
177,Alyssa,Jackson,,42,,Doctorate,,,344,edward99@example.net,BOWENMOUTH,Vermont,05-11-2005
178,Craig,Williams,Male,60,single,High School,Employed,75094.0,505,daniel17@example.org,Parksborough,Illinois,1983-01-21
179,Marissa,Velasquez,M,77,Married,PhD,employed,148537.0,494,omills@example.com,Liberg,Texas,2006/10/28
180,Brendan,Barajas,,39,Divorced,Post Graduate,Self-employed,168328.0,378,castroelizabeth@example.org,North Hunterstad,Oklahoma,1992-07-02
181,Emma,Campbell,FEMALE,31,Divorced,PhD,Self-employed,142044.0,335,matthew72@example.com,Harrisview,Ohio,2005-10-02
182,Laura,Miller,Other,71,Single,Post Graduate,Employed,130233.0,836,mosleyroberto@example.org,EAST BRIANNABURY,Illinois,1989/03/21
183,Cathy,Hawkins,Unknown,42,D,Graduate,,128097.0,701,bridget62@example.org,West Dianeberg,Oregon,2009-11-02
184,Erin,Diaz,Other,69,Single,,Retired,93671.0,514,Stephanie,South Joseph,Maine,1983-07-11
185,Darrell,Clark,FEMALE,28,Single,PhD,Self-employed,192152.0,574,wbright@example.com,Newtonshire,Idaho,06-04-2010
186,Susan,Ward,FEMALE,35,single,PG,self employed,23127.0,586,cclark@example.org,New Taylor,Alaska,18-04-1973
187,Catherine,Pierce,M,61,D,PhD,Self-employed,27536.0,363,sandra70@example.net,Fordstad,Alabama,2025-07-14
188,Jeffrey,Payne,Unknown,71,single,Graduate,Self-employed,124049.0,715,sgarcia@example.com, MYERSMOUTH ,Washington,1971-11-01
189,Ashley,Allison,Male,34,MARRIED,Post Graduate,Retired,71993.0,426,jenkinschristopher@example.com,North Juliamouth,Vermont,1996-09-28
190,Amanda,Schaefer,M,76,Divorced,PhD,Retired,50845.0,589,petersenbrittany@example.com,LAKE LAURENFORT,Wisconsin,1986-06-26
191,Dawn,Wheeler,M,78,MARRIED,High School,Unemployed,58002.0,489,kbeck@example.net,Villanuevamouth,Delaware,18-01-1980
192,Jessica,Moyer,Unknown,26,,,Unemployed,68413.0,468,mary55@example.com,Wallacemouth,California,1984/09/18
193,Edward,Davis,Male,63,D,high school,,103265.0,685,weissgreg@example.org, Thomasbury ,Arizona,13-05-1995
194,Katherine,Williams,Male,80,S,Doctorate,Self-employed,52939.0,482,autumncrawford@example.com, Shawtown ,Massachusetts,1987-05-04
195,Nancy,Gordon,Male,53,Married,,employed,162706.0,645,hguerra@example.org,WALTONPORT,Ohio,09-08-1986
196,Leslie,Soto,Other,60,Married,,Employed,74248.0,840,qreyes@example.org,Robinsonport,Washington,1997/04/02
197,Tina,Baker,Male,52,S,Doctorate,Employed,,544,gmurray@example.com, South James ,Utah,1990/11/09
198,Kelsey,King,F,71,Divorced,high school,Self-employed,69412.0,499,patricia87@example.net,LAKE JOSEPHFORT,Iowa,1987-05-06
199,Brittany,Short,Other,22,Married,Doctorate,Self-employed,76448.0,590,Daniel,WEST DIANEBERG,Colorado,1981/08/03
200,Zachary,Griffith,,30,,high school,Unemployed,31710.0,631,martinezbeth@example.com,New Brendanside,Michigan,1991-01-23
201,Ashley,Stout,F,23,S,Post Graduate,Self-employed,,640,michaelcasey@example.com,Nguyenburgh,Florida,1988-05-25
202,Dana,Armstrong,Unknown,48,MARRIED,PhD,self employed,,1134,chart@example.org,GRANTSTAD,Colorado,31-01-1971
203,Jane,Mosley,Unknown,76,Married,PhD,Employed,82648.0,716,yvonne76@example.org,South Angelamouth,Alabama,2009-10-21
204,Kimberly,Wallace,Female,38,MARRIED,PG,Unemployed,104761.0,767,tgomez@example.com,MICHAELFORT,Arizona,2021-02-20
205,Stacy,Gordon,,55,MARRIED,high school,self employed,118935.0,445,peterreese@example.org,Danielbury,Delaware,2013-08-04
206,Andrew,Hickman,,35,,,Employed,133663.0,484,qclark@example.com,Elizabethborough,Nevada,08-09-1978
207,Timothy,Castillo,FEMALE,30,MARRIED,PhD,,163666.0,583,castroandrew@example.net,WEST HEIDIBOROUGH,Oklahoma,1973-10-25
208,Andrea,Kennedy,FEMALE,51,MARRIED,High School,Employed,180178.0,559,rachelfernandez@example.org, PORT KELLY ,Mississippi,2008/07/02
209,April,Olson,Male,42,Single,grad,jobless,88050.0,611,hallzachary@example.net,JONESBERG,South Dakota,2001/10/17
210,Jillian,Cline,Female,57,Single,,Unemployed,124872.0,300,wendysmith@example.org,Ronaldton,Rhode Island,1994-04-19
211,Natasha,Bennett,F,79,Married,PG,Employed,157076.0,792,powelldarlene@example.net,Smithview,Kentucky,1976-11-11
212,Heather,Chandler,M,55,Single,Post Graduate,self employed,191043.0,552,kallen@example.net, Leeland ,West Virginia,1993/11/29
213,Tonya,Davis,F,32,Single,Graduate,,108654.0,533,Michelle,North Jamesfurt,Arkansas,2007/07/21
214,Sarah,Henson,F,63,Married,High School,Unemployed,176226.0,818,juliaboyd@example.org,Sarahborough,Hawaii,01-03-2005
215,Christopher,Martin,F,21,S,PG,jobless,22450.0,717,ilane@example.org,Morrisview,Massachusetts,1998-04-05
