card_id,customer_id,card_type,card_network,card_number,account_open_date,credit_limit,available_credit,interest_rate,annual_fee,minimum_payment_due,card_status
110,17,,,2292910779901845,2016-07-16,16853,12327,15.9,150.0,139,Closed
111,5702,Platinum,Visa,30550658087158,1997-03-17,17166,12526,12.5,0.0,188,
112,6333,Platinum,,6011689994582041,2020-02-27,8089,4972,18.99,0.0,460,
113,4466,Platinum,Visa,2225374247678356,1987-07-16,18115,14315,18.99,99.0,143,Active
114,8821,Silver,Visa,372377038460095,1986-12-03,18539,14009,15.9,150.0,365,active
115,5985,Silver,Visa,375883245845314,1987-09-05,16571,21571,18.99,,227,Blocked
116,3466,GOLD,visa,4947976465805,2018-11-07,17190,15167,22.5,0.0,227,Closed
117,2092,,visa,4477342814494,2007-09-13,7544,7392,15.9,0.0,93,Closed
118,9379,Platinum,Amex,676209952859,1981-08-22,18772,16506,,99.0,240,
119,7721,GOLD,Visa,3533133423880342,2009-03-02,18164,17134,18.99,99.0,398,Active
120,3234,silver,Mastercard,4659879155991840,2004-05-29,6850,3798,22.5,50.0,98,Active
121,3629,GOLD,Amex,6011782190719705,2008-01-23,12125,10870,22.5,50.0,420,Blocked
122,8507,silver,Amex,376073224481641,2022-11-11,13790,11353,22.5,99.0,28,Blocked
123,10143,Platinum,visa,348220575395954,1993-08-11,13332,9746,,99.0,188,active
124,5196,GOLD,visa,4903033268097129,1995-03-28,8462,5348,15.9,150.0,146,active
125,3168,GOLD,Visa,30134282732107,2008-06-11,16822,13679,12.5,150.0,251,
126,5258,silver,Mastercard,379536779489497,1976-05-06,18259,14983,18.99,50.0,305,
127,6053,silver,,4762150851934656,2004-06-07,11552,8354,12.5,150.0,282,active
128,8696,Silver,Amex,3513407936026278,2004-03-18,6930,2853,12.5,,461,active
129,6451,GOLD,visa,4526142733652579,1989-01-15,7307,5498,18.99,50.0,142,Active
130,6673,Silver,,3513454906137263,1997-02-04,6485,5658,22.5,0.0,83,Closed
131,9234,GOLD,,3537992767027943,2017-06-16,8037,7336,15.9,0.0,244,
132,1551,Gold,Mastercard,4758029696775534705,2010-07-24,2285,-695,22.5,50.0,27,Active
133,3078,GOLD,,4290299429624827,1978-03-30,4172,-226,15.9,99.0,210,Closed
134,1583,Silver,Mastercard,2221071758023675,1998-09-12,19358,17830,,50.0,98,
135,9181,Silver,visa,180042888622838,2024-04-04,16382,14376,22.5,99.0,194,Blocked
136,5327,Gold,Amex,4397385803789484,1987-04-05,10431,6678,,0.0,262,active
137,4926,Silver,,374108230087230,2003-05-26,18790,17659,15.9,99.0,237,Active
138,4872,,,503856904092,1976-07-07,2975,-229,15.9,0.0,169,
139,7735,Platinum,Mastercard,6524803034619859,2019-11-07,15384,13062,12.5,99.0,492,Closed
140,8057,Gold,Amex,4712048512407818,1997-10-08,12826,8727,22.5,50.0,163,
141,9371,GOLD,visa,213158913730395,1989-03-05,13663,8834,22.5,150.0,447,
142,2665,Platinum,visa,213191336556402,1988-05-18,4296,3082,18.99,50.0,412,Closed
143,4333,silver,visa,676316084125,2012-05-05,7474,5517,22.5,50.0,240,
144,5717,Silver,Visa,6504719307477698,1973-07-16,13099,9845,12.5,0.0,120,Closed
145,10377,,visa,4003792181279960,2009-05-05,14797,13131,,50.0,135,Blocked
146,6854,Silver,,373108910356583,1978-12-19,2344,-374,15.9,50.0,164,
147,3040,,Mastercard,4469631754895,1986-03-26,17585,15208,18.99,99.0,164,Blocked
148,7855,GOLD,Mastercard,4288107718432605604,2010-02-21,14524,10293,12.5,0.0,19,active
149,783,silver,Mastercard,343225543031156,1991-01-19,11227,8879,15.9,50.0,28,Active
150,2183,Platinum,,4187713917202,2007-11-21,13947,10508,22.5,0.0,500,Closed
151,10200,GOLD,,180034116446163,1996-12-25,13201,10997,18.99,0.0,114,active
152,2472,Platinum,visa,4465069673119892,2011-11-04,19059,15254,,,33,Closed
153,6565,Gold,,2273721044500566,1987-10-02,2046,1280,22.5,99.0,189,Closed
154,7734,silver,Mastercard,3574526123823464,1999-06-12,16078,15540,12.5,99.0,127,Blocked
155,10017,,Amex,4442251473211776,2009-06-26,3194,3049,22.5,99.0,291,Closed
156,9048,GOLD,Mastercard,4930430243291053809,1985-01-18,10833,6175,,150.0,71,Active
157,5622,GOLD,,3546391529109116,1982-03-04,12521,10262,22.5,,355,Blocked
158,4066,Gold,Amex,3535224068894371,1983-04-11,15026,13547,22.5,0.0,499,Closed
159,6721,GOLD,visa,30459752999724,2016-05-01,4230,220,12.5,50.0,122,Blocked
160,8454,,Mastercard,30100793312598,1998-10-19,12665,12406,15.9,0.0,310,
161,7014,silver,Amex,371829206551015,1989-05-08,15241,11191,15.9,99.0,178,Blocked
162,4174,GOLD,Visa,3536344369352751,2005-02-04,6519,2633,,150.0,254,Closed
163,3755,Gold,,675974206822,1970-07-10,14133,10136,,,457,Active
164,4630,,,4065169065275213,2013-03-10,14163,11132,18.99,150.0,297,Blocked
165,4881,silver,Amex,4570857184506686,1994-09-23,10528,7434,15.9,0.0,169,Blocked
166,5606,Platinum,visa,3555425241950452,1994-03-02,9260,6982,,0.0,150,active
167,2876,silver,Mastercard,6563601869195231,2006-06-15,10190,7395,18.99,,477,Closed
168,8869,silver,Amex,3548895324867221,1996-11-01,15517,14644,15.9,,415,Closed
169,6857,silver,Mastercard,676305598580,1990-09-13,10064,8655,15.9,50.0,202,active
170,1819,Silver,visa,4289410822535,2013-06-14,10011,7825,12.5,99.0,483,active
171,9072,Silver,Mastercard,180093973612317,2000-03-21,5145,4802,12.5,150.0,97,
172,5790,Gold,visa,6011417292573987,1992-04-04,17547,15193,12.5,150.0,256,active
173,9970,silver,Visa,4299059137871,1983-04-20,2473,-1666,,50.0,444,active
174,969,,Mastercard,5377196054021449,1995-07-18,7000,2315,18.99,150.0,89,Blocked
175,7909,Platinum,visa,4590566555407871263,2012-08-22,11755,9295,12.5,0.0,135,Closed
176,9528,silver,Amex,180030305979766,2000-11-22,17574,17283,18.99,99.0,26,Active
177,4246,,,30174097835430,2016-01-21,5222,913,18.99,50.0,134,Blocked
178,9225,GOLD,Mastercard,3554949260061777,1999-11-05,16518,21518,22.5,,442,active
179,5302,Silver,Amex,6553307094643159,2008-01-07,3120,927,22.5,50.0,463,Closed
180,1284,Platinum,Amex,2414445345878261,2011-10-26,2609,-1807,22.5,0.0,237,Blocked
181,8456,GOLD,visa,6011254821872881,1988-08-06,6811,5932,12.5,,69,Active
182,8387,silver,,6011134012452877,1998-11-08,7191,3663,,99.0,21,Active
183,3584,silver,Visa,6011834162048678,1980-01-05,10186,8296,,,453,Blocked
184,3942,,Visa,6520199646117273,1974-02-20,10889,6362,15.9,0.0,46,Blocked
185,6878,Gold,Amex,36925597632161,2005-08-20,3651,3478,15.9,,331,Active
186,3144,Platinum,Amex,6011115247228349,1994-06-02,19221,15200,18.99,0.0,481,Active
187,7881,Platinum,visa,30377713492441,2020-12-12,15830,12937,12.5,0.0,488,Blocked
188,8159,silver,visa,675907479751,2011-03-05,10492,6295,,,128,Closed
189,3146,GOLD,Visa,3551376077918648,2019-07-14,6969,5275,,,200,Closed
190,3398,Platinum,Mastercard,4174944908298145,1996-06-26,12871,12857,12.5,150.0,266,
191,3142,GOLD,visa,36279737506988,1984-03-11,16363,12983,12.5,,141,Closed
192,2600,silver,Mastercard,4164176336977329,1979-06-17,6935,6465,22.5,150.0,29,Closed
193,1975,silver,Amex,340452881874517,2023-09-28,15442,14242,,150.0,422,Active
194,1295,silver,,502087419813,2009-06-09,19454,19394,22.5,,52,Blocked
195,9667,,visa,3575420941213448,2019-09-28,5258,2475,,50.0,207,Blocked
196,9341,Platinum,,4486212141794681,2005-03-08,-2352,-2979,,50.0,256,Blocked
197,8210,,Mastercard,3555596568539019,2000-10-05,12627,7962,12.5,99.0,448,Closed
198,9828,silver,Amex,4135694630829415053,1981-08-22,5302,4298,,150.0,109,
199,3435,GOLD,Mastercard,4515417837672472268,1985-08-09,17076,16871,22.5,,471,active
200,2538,Silver,Mastercard,6011622136592826,2009-12-07,12327,10983,,150.0,290,Closed
201,6133,Platinum,Mastercard,213175693446943,1994-04-08,3232,-129,,,79,Blocked
202,7308,Silver,Visa,344255813040446,2011-02-09,16581,15801,15.9,99.0,342,
203,10476,Platinum,Amex,2478731569984825,1987-09-13,16861,13786,18.99,50.0,188,active
204,3043,,Mastercard,377664269408496,1970-12-11,7154,5367,,99.0,232,Closed
205,5517,GOLD,,4438823069115518951,1998-05-25,16180,14502,12.5,,167,Active
206,8433,Platinum,,4631924000336909,1971-08-02,10943,6924,,99.0,490,Blocked
207,1861,GOLD,Visa,2709650991384688,2019-10-27,17227,16491,18.99,,472,Blocked
208,5878,Gold,,4582979342542902,1970-09-26,7560,6129,15.9,99.0,227,Closed
209,1491,Silver,Amex,180050475063472,2025-01-13,6104,4995,15.9,,63,active
210,9295,Gold,Visa,30025632319365,2012-11-20,16787,16363,12.5,99.0,405,Closed
211,4997,Silver,Mastercard,675982392234,2012-01-28,11785,11754,15.9,,30,
212,9942,Silver,Mastercard,4213150398221879837,1994-11-12,12423,8457,12.5,150.0,199,Blocked
213,9631,silver,Mastercard,676125578929,1983-11-03,14638,14609,18.99,50.0,236,active
214,6921,GOLD,Amex,6586775609827072,1990-04-24,10492,6696,18.99,,292,active
215,3034,silver,Mastercard,213167970188454,2023-03-04,14960,14640,18.99,0.0,317,active
216,8336,Gold,visa,4209687885395,2008-02-19,16916,16339,15.9,50.0,207,Active
217,10170,Gold,Visa,3594752672404995,1971-09-20,16431,15739,18.99,50.0,52,
218,6860,,visa,675971203772,2019-06-19,7693,5905,,99.0,14,Closed
219,2783,Silver,Mastercard,4152584493042080,2013-01-18,3460,1721,22.5,50.0,357,Blocked
220,4937,silver,Visa,4156141478495548,2018-05-20,9071,6093,,50.0,216,Active
221,7173,Platinum,Visa,4224865253215352,1970-07-31,4941,1888,18.99,,248,active
222,546,silver,Mastercard,6505271479847893,2002-12-31,17382,13228,12.5,,179,
223,1685,GOLD,Visa,2468359868521833,1985-04-20,18369,15766,22.5,0.0,240,
224,2588,Silver,Visa,4438046297220,1993-03-23,17515,14661,12.5,50.0,366,Closed
225,1883,Platinum,visa,4270556312903,2015-08-01,14908,11966,18.99,50.0,62,active
226,52,silver,,180049642139967,1994-07-23,18233,13584,15.9,150.0,105,Closed
227,2331,Platinum,visa,38903925047921,1984-12-09,13501,9009,,,144,Blocked
228,6804,Platinum,Mastercard,4455996068591,1999-10-22,2548,-159,15.9,50.0,131,Closed
229,6452,Platinum,Visa,6011539580813328,1980-07-08,2296,-809,22.5,50.0,261,
230,7834,Platinum,Mastercard,2226966344235433,1989-09-26,17568,17081,,150.0,115,active
231,9129,Silver,Amex,4705054350690688,2006-07-24,15930,13534,,0.0,344,Closed
232,7434,GOLD,Mastercard,5100818469392842,1970-04-13,2804,2717,18.99,150.0,404,active
233,1134,Platinum,visa,4292936701421291718,2005-09-09,16109,12992,,50.0,496,Closed
234,10233,Silver,Mastercard,4955762353810676,2009-05-29,16441,15848,12.5,99.0,79,Active
235,10481,GOLD,,3571523390010811,1991-09-21,12155,12138,15.9,50.0,484,Active
236,5316,Silver,Visa,3590003292178724,2014-08-04,16943,12728,22.5,150.0,222,active
237,7301,,visa,213155058124749,1973-05-25,18152,16103,15.9,0.0,89,Blocked
238,3350,silver,Mastercard,4638911131864639,1978-11-13,4227,3675,,50.0,312,active
239,6782,Gold,Visa,4996439794400,1985-07-17,16377,15957,18.99,99.0,319,Blocked
240,340,GOLD,visa,3524585190265422,2006-05-17,15616,12284,18.99,99.0,160,active
241,9891,Platinum,Amex,4119938349500646,1995-05-22,18595,17249,18.99,,219,Blocked
242,6506,Platinum,Mastercard,4574621680925,1987-12-29,4130,2203,18.99,99.0,30,active
243,8119,GOLD,,3507958077641042,1989-06-28,10061,5203,18.99,0.0,422,Blocked
244,5955,Gold,visa,30224880385174,1977-12-03,12655,10603,22.5,150.0,102,Active
245,7218,Silver,Visa,346238151547048,1983-07-17,10525,10515,15.9,50.0,130,Closed
246,6763,Platinum,Amex,6011321491737114,1997-04-28,3110,-776,22.5,,489,Active
247,1410,Silver,Amex,30442962696157,1978-06-18,12263,7597,22.5,50.0,382,Blocked
248,6334,Silver,Mastercard,4859850653354228084,2012-09-10,2769,-2106,,99.0,354,Closed
249,6143,,Visa,4007754461235,1986-11-18,5610,4515,12.5,,173,Active
250,7794,,,344236070241802,1994-09-11,19856,16642,15.9,150.0,321,active
251,5979,Gold,,501895656616,1982-06-15,18601,14053,15.9,50.0,255,active
252,1800,Gold,,30291096389613,1985-02-07,5316,863,,150.0,23,Closed
253,2557,Platinum,Mastercard,3597051936625918,1976-02-15,3164,-888,,99.0,58,active
254,1055,Platinum,visa,3587508967776037,2019-07-23,12243,10757,18.99,99.0,309,Blocked
255,4057,silver,visa,30343874439639,1993-08-25,6718,4913,,0.0,484,
256,518,Gold,,4713147325023330,1978-12-24,-19831,-21838,12.5,0.0,178,Active
257,450,Gold,,4485958670761,1998-11-17,18365,16822,,150.0,320,Blocked
258,9561,GOLD,Amex,4575580003842463,1984-11-26,16106,15086,18.99,50.0,254,Blocked
259,9223,silver,Amex,3572631517572495,1990-10-06,7851,6611,18.99,150.0,22,Closed
260,2164,Gold,visa,6011146241272892,1990-12-26,13582,13101,18.99,150.0,142,Blocked
261,6783,Gold,Visa,501888874077,1976-05-22,9020,6144,22.5,0.0,216,Active
262,5824,,Visa,639018648340,2002-08-05,14692,10172,,,490,Blocked
263,7386,Platinum,Mastercard,3505938920338253,2016-03-12,18957,14667,12.5,150.0,269,Closed
264,7502,Gold,visa,213188357956792,1990-08-22,9417,5317,12.5,,164,
265,7054,Platinum,,3568285928023311,1977-04-23,16016,13671,18.99,99.0,110,Blocked
266,7867,Gold,visa,377033809516848,2025-01-26,9092,7092,22.5,0.0,193,Closed
267,1296,GOLD,,6011648348257874,2011-05-21,6433,2891,22.5,50.0,492,
268,8433,silver,Mastercard,3545436742152079,1973-10-30,10388,9017,12.5,150.0,295,active
269,6451,Gold,Visa,180039239963523,1978-11-01,-7352,-9616,18.99,50.0,221,Active
270,2960,GOLD,Visa,373713670810883,2006-01-12,14065,19065,15.9,,366,Closed
271,4912,GOLD,visa,180092091674092,1992-03-25,6716,4713,15.9,150.0,224,Closed
272,710,silver,Mastercard,4609376147131313,2010-07-02,16761,15818,18.99,,333,Closed
273,4935,,Mastercard,376189587089332,1998-12-18,16898,16802,,,69,Closed
274,6570,Platinum,visa,6011880902464683,1976-11-21,8751,7241,22.5,,179,Active
275,4320,Platinum,visa,3564620649674121,2008-06-02,10236,7751,18.99,99.0,50,active
276,6116,Platinum,visa,30384048528378,2014-10-30,16752,11766,18.99,0.0,378,Closed
277,7042,,Visa,345838528181495,2003-11-28,13950,12156,15.9,150.0,481,active
278,3759,,Amex,180065980292580,1987-05-08,16484,11576,12.5,99.0,10,Closed
279,1604,Gold,,345047576811561,1997-02-28,3931,1261,12.5,0.0,134,Blocked
280,6615,,visa,6530014184280094,1982-11-07,3583,2238,18.99,0.0,68,
281,2991,Platinum,Amex,6011781816169899,1972-10-13,12346,9932,,0.0,28,Closed
282,10194,GOLD,Visa,501863439961,2022-08-19,13196,11421,15.9,50.0,295,active
283,787,Platinum,Amex,378797548674964,1991-05-29,12810,12793,12.5,,235,
284,1859,Platinum,Mastercard,6011518764173584,2009-07-07,2290,-1814,15.9,0.0,275,Active
285,7928,,Amex,4765523397096789369,1975-05-12,3782,2064,12.5,,363,active
286,7505,,Amex,4585589396755206,1989-03-17,12809,10718,15.9,0.0,214,Closed
287,892,Platinum,,213183227900559,1976-10-18,6564,6063,22.5,50.0,344,Blocked
288,4170,,Amex,4542903681152262,1994-09-12,14869,12250,,0.0,219,active
289,9538,Silver,Visa,4601378737341,2009-12-26,5963,1309,15.9,0.0,470,Active
290,6952,silver,Mastercard,30189324211130,1979-01-09,17169,15608,15.9,0.0,448,
291,2649,Gold,visa,4171351936354127,1979-11-10,7211,4959,,150.0,187,Blocked
292,3341,GOLD,Mastercard,3501542931072572,2005-02-22,2632,2462,12.5,150.0,51,active
293,4546,silver,visa,30142772987321,1972-04-28,16223,14820,22.5,0.0,120,Blocked
294,6060,,Visa,3532283825880530,1979-02-12,8492,7915,18.99,,95,Blocked
295,394,Gold,Mastercard,3592148467324138,2009-06-23,2137,-1678,18.99,0.0,245,Active
296,7797,Silver,Amex,3577027015299753,2003-06-16,4094,1235,18.99,50.0,488,Active
297,2775,GOLD,Mastercard,3518793415080950,2021-04-12,7949,6142,22.5,150.0,379,Closed
298,3065,Platinum,visa,4066615551986597,2015-04-08,11180,7642,22.5,,214,Active
299,10177,GOLD,Mastercard,36754390681294,2006-09-29,8064,5102,15.9,,242,Blocked
300,1951,silver,visa,2272503040534927,1977-12-13,18139,13579,18.99,99.0,396,
301,9345,Platinum,Visa,4741953720104,1974-01-16,11348,9739,12.5,50.0,243,Active
302,9133,silver,Mastercard,4621979979345331129,2010-07-27,3760,-339,12.5,50.0,201,active
303,8688,Gold,Visa,30462748315179,2020-04-22,18803,16212,,0.0,176,Closed
304,1114,silver,visa,4282455755718514,2008-08-28,5089,4722,22.5,150.0,457,Blocked
305,7070,silver,Mastercard,3537571487937878,1970-07-10,16391,14078,15.9,,36,active
306,3211,Gold,,630484972058,2016-12-02,15820,14862,22.5,,359,Blocked
307,7994,Silver,Mastercard,4099165717629740,1989-01-19,19151,15338,22.5,99.0,134,active
308,5358,silver,visa,379801471155071,2015-06-14,12091,10170,18.99,0.0,79,Active
309,5304,Platinum,,3547694209538440,2018-11-27,16489,15528,22.5,0.0,425,Closed
310,3919,,,4959415289373,2016-08-04,6509,6286,,99.0,436,
311,3185,Platinum,visa,4609371301632594518,1974-09-16,2417,741,,99.0,195,Active
312,10264,GOLD,visa,6011033010444862,1991-02-27,14503,10188,22.5,0.0,70,Closed
313,10060,,Mastercard,060478580016,2016-09-30,9249,7156,15.9,99.0,81,Active
314,9687,GOLD,Mastercard,4536455380655027949,2005-10-18,12775,9424,15.9,99.0,129,Active
315,8240,Silver,,375320330519108,1982-07-22,3207,822,12.5,50.0,224,
316,6495,silver,Visa,30274047614578,2020-08-28,3415,-1345,15.9,150.0,247,Closed
